image,label
/content/flair_fnau/output/train_dataset/train/images/tile_0093.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0093.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0062.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0062.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0022.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0022.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0047.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0047.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0067.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0067.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0098.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0098.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0030.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0030.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0073.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0073.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0064.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0064.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0009.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0009.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0033.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0033.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0068.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0068.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0025.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0025.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0076.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0076.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0028.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0028.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0096.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0096.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0125.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0125.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0094.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0094.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0053.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0053.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0005.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0005.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0070.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0070.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0103.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0103.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0039.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0039.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0049.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0049.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0035.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0035.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0034.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0034.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0112.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0112.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0007.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0007.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0043.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0043.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0122.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0122.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0132.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0132.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0114.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0114.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0008.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0008.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0013.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0013.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0134.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0134.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0003.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0003.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0017.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0017.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0038.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0038.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0072.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0072.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0120.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0120.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0006.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0006.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0085.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0085.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0116.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0116.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0107.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0107.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0054.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0054.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0050.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0050.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0100.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0100.tif
